ROUTE_ID,ARRIVAL_TIME,DEPARTURE_TIME,STOP_ID,STOP_SEQ
1,05:00:00,05:00:00,0,0
1,05:10:00,05:10:00,1,1
1,05:16:00,05:16:00,2,2
1,05:24:00,05:24:00,3,3
1,05:32:00,05:32:00,4,4
1,05:42:00,05:42:00,5,5
1,05:50:00,05:50:00,6,6
1,05:58:00,05:58:00,7,7
1,06:08:00,06:08:00,8,8
1,06:16:00,06:16:00,9,9
1,06:22:00,06:22:00,10,10
1,06:28:00,06:28:00,11,11
1,06:38:00,06:38:00,12,12
1,06:48:00,06:48:00,13,13
1,06:58:00,06:58:00,14,14
1,07:08:00,07:08:00,15,15
1,07:14:00,07:14:00,16,16
1,07:24:00,07:24:00,17,17
1,07:34:00,07:34:00,18,18
1,07:40:00,07:40:00,19,19
1,07:48:00,07:48:00,20,20
1,07:54:00,07:54:00,21,21
1,08:02:00,08:02:00,22,22
1,08:10:00,08:10:00,23,23
1,08:18:00,08:18:00,24,24
1,08:26:00,08:26:00,25,25
1,08:32:00,08:32:00,26,26
1,08:38:00,08:38:00,27,27
1,08:48:00,08:48:00,28,28
1,08:58:00,08:58:00,29,29
1,09:06:00,09:06:00,30,30
1,09:14:00,09:14:00,31,31
1,09:24:00,09:24:00,32,32
1,09:30:00,09:30:00,33,33
1,09:40:00,09:40:00,34,34
1,09:50:00,09:50:00,35,35
1,09:56:00,09:56:00,36,36
1,10:04:00,10:04:00,37,37
1,10:14:00,10:14:00,38,38
1,10:20:00,10:20:00,39,39
1,10:26:00,10:26:00,40,40
1,10:34:00,10:34:00,41,41
1,10:44:00,10:44:00,42,42
1,10:54:00,10:54:00,43,43
1,11:02:00,11:02:00,44,44
1,11:16:00,11:16:00,0,0
1,11:24:00,11:24:00,1,1
1,11:34:00,11:34:00,2,2
1,11:42:00,11:42:00,3,3
1,11:48:00,11:48:00,4,4
1,11:58:00,11:58:00,5,5
1,12:04:00,12:04:00,6,6
1,12:12:00,12:12:00,7,7
1,12:18:00,12:18:00,8,8
1,12:28:00,12:28:00,9,9
1,12:36:00,12:36:00,10,10
1,12:42:00,12:42:00,11,11
1,12:52:00,12:52:00,12,12
1,12:58:00,12:58:00,13,13
1,13:04:00,13:04:00,14,14
1,13:12:00,13:12:00,15,15
1,13:20:00,13:20:00,16,16
1,13:26:00,13:26:00,17,17
1,13:32:00,13:32:00,18,18
1,13:40:00,13:40:00,19,19
1,13:48:00,13:48:00,20,20
1,13:56:00,13:56:00,21,21
1,14:04:00,14:04:00,22,22
1,14:12:00,14:12:00,23,23
1,14:18:00,14:18:00,24,24
1,14:26:00,14:26:00,25,25
1,14:32:00,14:32:00,26,26
1,14:40:00,14:40:00,27,27
1,14:46:00,14:46:00,28,28
1,14:56:00,14:56:00,29,29
1,15:06:00,15:06:00,30,30
1,15:12:00,15:12:00,31,31
1,15:22:00,15:22:00,32,32
1,15:28:00,15:28:00,33,33
1,15:38:00,15:38:00,34,34
1,15:46:00,15:46:00,35,35
1,15:56:00,15:56:00,36,36
1,16:06:00,16:06:00,37,37
1,16:16:00,16:16:00,38,38
1,16:26:00,16:26:00,39,39
1,16:36:00,16:36:00,40,40
1,16:44:00,16:44:00,41,41
1,16:54:00,16:54:00,42,42
1,17:04:00,17:04:00,43,43
1,17:14:00,17:14:00,44,44
1,17:27:00,17:27:00,0,0
1,17:35:00,17:35:00,1,1
1,17:41:00,17:41:00,2,2
1,17:47:00,17:47:00,3,3
1,17:53:00,17:53:00,4,4
1,17:59:00,17:59:00,5,5
1,18:09:00,18:09:00,6,6
1,18:15:00,18:15:00,7,7
1,18:21:00,18:21:00,8,8
1,18:31:00,18:31:00,9,9
1,18:41:00,18:41:00,10,10
1,18:51:00,18:51:00,11,11
1,19:01:00,19:01:00,12,12
1,19:09:00,19:09:00,13,13
1,19:19:00,19:19:00,14,14
1,19:27:00,19:27:00,15,15
1,19:37:00,19:37:00,16,16
1,19:45:00,19:45:00,17,17
1,19:55:00,19:55:00,18,18
1,20:01:00,20:01:00,19,19
1,20:09:00,20:09:00,20,20
1,20:17:00,20:17:00,21,21
1,20:27:00,20:27:00,22,22
1,20:35:00,20:35:00,23,23
1,20:41:00,20:41:00,24,24
1,20:51:00,20:51:00,25,25
1,20:57:00,20:57:00,26,26
1,21:05:00,21:05:00,27,27
1,21:11:00,21:11:00,28,28
1,21:21:00,21:21:00,29,29
1,21:29:00,21:29:00,30,30
1,21:37:00,21:37:00,31,31
1,21:45:00,21:45:00,32,32
1,21:53:00,21:53:00,33,33
1,22:01:00,22:01:00,34,34
1,22:09:00,22:09:00,35,35
1,22:17:00,22:17:00,36,36
1,22:25:00,22:25:00,37,37
1,22:33:00,22:33:00,38,38
1,22:41:00,22:41:00,39,39
1,22:47:00,22:47:00,40,40
1,22:53:00,22:53:00,41,41
1,22:59:00,22:59:00,42,42
1,23:05:00,23:05:00,43,43
1,23:11:00,23:11:00,44,44
10,05:00:00,05:00:00,0,0
10,05:10:00,05:10:00,43,1
10,05:16:00,05:16:00,42,2
10,05:24:00,05:24:00,45,3
10,05:32:00,05:32:00,40,4
10,05:42:00,05:42:00,39,5
10,05:50:00,05:50:00,38,6
10,05:58:00,05:58:00,37,7
10,06:08:00,06:08:00,36,8
10,06:16:00,06:16:00,35,9
10,06:22:00,06:22:00,46,10
10,06:28:00,06:28:00,33,11
10,06:38:00,06:38:00,32,12
10,06:48:00,06:48:00,31,13
10,06:58:00,06:58:00,30,14
10,07:08:00,07:08:00,29,15
10,07:14:00,07:14:00,28,16
10,07:24:00,07:24:00,27,17
10,07:34:00,07:34:00,26,18
10,07:40:00,07:40:00,25,19
10,07:48:00,07:48:00,24,20
10,07:54:00,07:54:00,23,21
10,08:02:00,08:02:00,22,22
10,08:10:00,08:10:00,21,23
10,08:18:00,08:18:00,20,24
10,08:26:00,08:26:00,19,25
10,08:32:00,08:32:00,18,26
10,08:38:00,08:38:00,47,27
10,08:48:00,08:48:00,17,28
10,08:58:00,08:58:00,16,29
10,09:06:00,09:06:00,15,30
10,09:14:00,09:14:00,14,31
10,09:24:00,09:24:00,13,32
10,09:30:00,09:30:00,12,33
10,09:40:00,09:40:00,11,34
10,09:50:00,09:50:00,10,35
10,09:56:00,09:56:00,9,36
10,10:04:00,10:04:00,8,37
10,10:14:00,10:14:00,48,38
10,10:20:00,10:20:00,6,39
10,10:26:00,10:26:00,5,40
10,10:34:00,10:34:00,49,41
10,10:44:00,10:44:00,3,42
10,10:54:00,10:54:00,2,43
10,11:02:00,11:02:00,1,44
10,11:10:00,11:10:00,50,45
10,11:18:00,11:18:00,44,46
10,11:33:00,11:33:00,0,0
10,11:41:00,11:41:00,43,1
10,11:47:00,11:47:00,42,2
10,11:57:00,11:57:00,45,3
10,12:03:00,12:03:00,40,4
10,12:11:00,12:11:00,39,5
10,12:17:00,12:17:00,38,6
10,12:27:00,12:27:00,37,7
10,12:35:00,12:35:00,36,8
10,12:41:00,12:41:00,35,9
10,12:51:00,12:51:00,46,10
10,12:57:00,12:57:00,33,11
10,13:03:00,13:03:00,32,12
10,13:11:00,13:11:00,31,13
10,13:19:00,13:19:00,30,14
10,13:25:00,13:25:00,29,15
10,13:31:00,13:31:00,28,16
10,13:39:00,13:39:00,27,17
10,13:47:00,13:47:00,26,18
10,13:55:00,13:55:00,25,19
10,14:03:00,14:03:00,24,20
10,14:11:00,14:11:00,23,21
10,14:17:00,14:17:00,22,22
10,14:25:00,14:25:00,21,23
10,14:31:00,14:31:00,20,24
10,14:39:00,14:39:00,19,25
10,14:45:00,14:45:00,18,26
10,14:55:00,14:55:00,47,27
10,15:05:00,15:05:00,17,28
10,15:11:00,15:11:00,16,29
10,15:21:00,15:21:00,15,30
10,15:27:00,15:27:00,14,31
10,15:37:00,15:37:00,13,32
10,15:45:00,15:45:00,12,33
10,15:55:00,15:55:00,11,34
10,16:05:00,16:05:00,10,35
10,16:15:00,16:15:00,9,36
10,16:25:00,16:25:00,8,37
10,16:35:00,16:35:00,48,38
10,16:43:00,16:43:00,6,39
10,16:53:00,16:53:00,5,40
10,17:03:00,17:03:00,49,41
10,17:13:00,17:13:00,3,42
10,17:19:00,17:19:00,2,43
10,17:27:00,17:27:00,1,44
10,17:33:00,17:33:00,50,45
10,17:39:00,17:39:00,44,46
10,17:52:00,17:52:00,0,0
10,17:58:00,17:58:00,43,1
10,18:08:00,18:08:00,42,2
10,18:14:00,18:14:00,45,3
10,18:20:00,18:20:00,40,4
10,18:30:00,18:30:00,39,5
10,18:40:00,18:40:00,38,6
10,18:50:00,18:50:00,37,7
10,19:00:00,19:00:00,36,8
10,19:08:00,19:08:00,35,9
10,19:18:00,19:18:00,46,10
10,19:26:00,19:26:00,33,11
10,19:36:00,19:36:00,32,12
10,19:44:00,19:44:00,31,13
10,19:54:00,19:54:00,30,14
10,20:00:00,20:00:00,29,15
10,20:08:00,20:08:00,28,16
10,20:16:00,20:16:00,27,17
10,20:26:00,20:26:00,26,18
10,20:34:00,20:34:00,25,19
10,20:40:00,20:40:00,24,20
10,20:50:00,20:50:00,23,21
10,20:56:00,20:56:00,22,22
10,21:04:00,21:04:00,21,23
10,21:10:00,21:10:00,20,24
10,21:20:00,21:20:00,19,25
10,21:28:00,21:28:00,18,26
10,21:36:00,21:36:00,47,27
10,21:44:00,21:44:00,17,28
10,21:52:00,21:52:00,16,29
10,22:00:00,22:00:00,15,30
10,22:08:00,22:08:00,14,31
10,22:16:00,22:16:00,13,32
10,22:24:00,22:24:00,12,33
10,22:32:00,22:32:00,11,34
10,22:40:00,22:40:00,10,35
10,22:46:00,22:46:00,9,36
10,22:52:00,22:52:00,8,37
10,22:58:00,22:58:00,48,38
10,23:04:00,23:04:00,6,39
10,23:10:00,23:10:00,5,40
10,23:18:00,23:18:00,49,41
10,23:26:00,23:26:00,3,42
10,23:34:00,23:34:00,2,43
10,23:42:00,23:42:00,1,44
10,23:50:00,23:50:00,50,45
10,23:58:00,23:58:00,44,46
10,00:11:00,00:11:00,0,0
10,00:21:00,00:21:00,43,1
10,00:27:00,00:27:00,42,2
10,00:35:00,00:35:00,45,3
10,00:45:00,00:45:00,40,4
10,00:53:00,00:53:00,39,5
10,00:59:00,00:59:00,38,6
10,01:05:00,01:05:00,37,7
10,01:15:00,01:15:00,36,8
10,01:25:00,01:25:00,35,9
10,01:33:00,01:33:00,46,10
10,01:41:00,01:41:00,33,11
10,01:47:00,01:47:00,32,12
10,01:55:00,01:55:00,31,13
10,02:03:00,02:03:00,30,14
10,02:13:00,02:13:00,29,15
10,02:21:00,02:21:00,28,16
10,02:29:00,02:29:00,27,17
10,02:39:00,02:39:00,26,18
10,02:45:00,02:45:00,25,19
10,02:53:00,02:53:00,24,20
10,03:01:00,03:01:00,23,21
10,03:07:00,03:07:00,22,22
10,03:13:00,03:13:00,21,23
10,03:21:00,03:21:00,20,24
10,03:29:00,03:29:00,19,25
10,03:37:00,03:37:00,18,26
10,03:47:00,03:47:00,47,27
10,03:57:00,03:57:00,17,28
10,04:05:00,04:05:00,16,29
10,04:15:00,04:15:00,15,30
10,04:25:00,04:25:00,14,31
10,04:31:00,04:31:00,13,32
10,04:41:00,04:41:00,12,33
10,04:49:00,04:49:00,11,34
10,04:59:00,04:59:00,10,35
10,05:07:00,05:07:00,9,36
10,05:13:00,05:13:00,8,37
10,05:19:00,05:19:00,48,38
10,05:25:00,05:25:00,6,39
10,05:33:00,05:33:00,5,40
10,05:43:00,05:43:00,49,41
10,05:51:00,05:51:00,3,42
10,05:57:00,05:57:00,2,43
10,06:07:00,06:07:00,1,44
10,06:17:00,06:17:00,50,45
10,06:23:00,06:23:00,44,46
10,06:36:00,06:36:00,0,0
10,06:42:00,06:42:00,43,1
10,06:52:00,06:52:00,42,2
10,07:00:00,07:00:00,45,3
10,07:10:00,07:10:00,40,4
10,07:20:00,07:20:00,39,5
10,07:28:00,07:28:00,38,6
10,07:34:00,07:34:00,37,7
10,07:40:00,07:40:00,36,8
10,07:48:00,07:48:00,35,9
10,07:58:00,07:58:00,46,10
10,08:06:00,08:06:00,33,11
10,08:12:00,08:12:00,32,12
10,08:20:00,08:20:00,31,13
10,08:26:00,08:26:00,30,14
